,Nivel,Area,DESCRIPCIÓN PROGRAMA,TIPO DE PROMO,Antigüedad,Duracion,INICIOS,Lanzamiento,VA EJECUTIVAS?,VA HIBRIDAS?,VA UTEL JOVEN?,CLAVE PROGRAMA MX
1,Licenciatura,Ciencias Sociales y Humanidades,LICENCIATURA EN PEDAGOGÍA,PRICING BAJO,Antiguos,,Mensual,,SI,SI,SI,UTLLIPPFED
2,Licenciatura,Ingeniería y Soluciones,LICENCIATURA EN INGENIERÍA INDUSTRIAL,PRICING ALTO,Antiguos,,Mensual,,SI,SI,SI,UTLLIIIFED
3,Licenciatura,Ingeniería y Soluciones,LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES,PRICING ALTO,Antiguos,,Mensual,,SI,SI,SI,UTLLIISFED
4,Licenciatura,Derecho y Justicia Digital,LICENCIATURA EN CRIMINOLOGÍA Y CRIMINALÍSTICA,PRICING BAJO,Antiguos,,Mensual,,SI,SI,SI,UTLLICRFED
5,Licenciatura,Derecho y Justicia Digital,LICENCIATURA EN DERECHO,PRICING ALTO,Antiguos,,Mensual,,SI,SI,SI,UTLLIDDFED
6,Licenciatura,"Negocios, Innovación y Liderazgo",LICENCIATURA EN ADMINISTRACIÓN,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIAAFED
7,Licenciatura,Ingeniería y Soluciones,LICENCIATURA EN INGENIERÍA INDUSTRIAL Y ADMINISTRACIÓN,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIIAFED
8,Licenciatura,Capital Humano y Transformación Organizacional,LICENCIATURA EN ADMINISTRACIÓN DE RECURSOS HUMANOS,PRICING BAJO,Antiguos,,Mensual,,SI,SI,SI,UTLLIARFED
9,Licenciatura,Finanzas y Economía,LICENCIATURA EN CONTADURÍA Y FINANZAS,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLICFFED
10,Licenciatura,"Negocios, Innovación y Liderazgo",LICENCIATURA EN NEGOCIOS INTERNACIONALES,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLINIFED
11,Licenciatura,Finanzas y Economía,LICENCIATURA EN CONTADURÍA PÚBLICA,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLICPFED
12,Licenciatura,Ciencias de la Salud,LICENCIATURA EN PSICOLOGÍA ORGANIZACIONAL,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIPOFED
13,Licenciatura,"Negocios, Innovación y Liderazgo",LICENCIATURA EN ADMINISTRACIÓN DE NEGOCIOS,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIANFED
14,Licenciatura,Finanzas y Economía,LICENCIATURA EN ADMINISTRACIÓN Y FINANZAS,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIAFFED
15,Licenciatura,"Negocios, Innovación y Liderazgo",LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLITUFED
16,Licenciatura,Ciencias Sociales y Humanidades,LICENCIATURA EN CIENCIAS POLÍTICAS Y ADMINISTRACIÓN PÚBLICA,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLICAFED
17,Licenciatura,Económico-Administrativas,LICENCIATURA EN ADMINISTRACIÓN DE VENTAS,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIAVFED
18,Licenciatura,Diseño y Comunicación,LICENCIATURA EN COMUNICACIÓN,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLICCFED
19,Licenciatura,Hospitalidad y Turismo,LICENCIATURA EN DESARROLLO SUSTENTABLE Y ECOTURISMO,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIDSFED
20,Licenciatura,Económico-Administrativas,LICENCIATURA EN MERCADOTECNIA,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIMMFED
21,Licenciatura,"Negocios, Innovación y Liderazgo",LICENCIATURA EN ADMINISTRACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIATFED
22,Licenciatura,Finanzas y Economía,LICENCIATURA EN ECONOMÍA Y FINANZAS,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIEFFED
23,Licenciatura,Derecho y Justicia Digital,LICENCIATURA EN DERECHO INTERNACIONAL,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIDIFED
24,Licenciatura,Derecho y Justicia Digital,LICENCIATURA EN DERECHO EMPRESARIAL,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLIDEFED
25,Licenciatura,Ciencias Sociales y Humanidades,LICENCIATURA EN TECNOLOGÍA EDUCATIVA,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLITEFED
26,Licenciatura,Diseño y Comunicación,LICENCIATURA EN COMUNICACIÓN DIGITAL,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLICDFED
27,Licenciatura,Diseño y Comunicación,LICENCIATURA EN COMUNICACIÓN ORGANIZACIONAL,PRICING MEDIO,Antiguos,,Mensual,,SI,SI,SI,UTLLICOFED
28,Licenciatura,Ingeniería y Tecnología,"LICENCIATURA EN INTELIGENCIA ARTIFICIAL APLICADA A NEGOCIOS, INDUSTRIA Y AUTOMATIZACIÓN",Ing robotica,Antiguos,,Mensual,,SI,SI,SI,UTLLIBKFED
29,Licenciatura,Ingeniería y Tecnología,Licenciatura en Ética y Gobernanza de la Inteligencia Artificial,Ing robotica,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBNFED
30,Licenciatura,Ingeniería y Tecnología,Licenciatura en Ciberseguridad y Riesgos en Inteligencia Artificial,PRICING ALTO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBMFED
31,Licenciatura,Ingeniería y Tecnología,Licenciatura en Innovación y Emprendimiento con Inteligencia Artificial,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBPFED
32,Licenciatura,Ciencias Sociales y Humanidades,Licenciatura en Inteligencia Artificial y Ciencia de Datos,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBLFED
33,Licenciatura,Ingeniería y Tecnología,Licenciatura en Inteligencia Artificial en Educación,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBOFED
34,Licenciatura,Ingeniería y Soluciones,Licenciatura en Ingeniería en Ciencias de Datos e Inteligencia Analítica,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBCFED
35,Licenciatura,Ingeniería y Soluciones,Licenciatura en Ingeniería en Programación en la Nube,PRICING ALTO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBJFED
36,Licenciatura,Ingeniería y Soluciones,Licenciatura en Software para Entretenimiento Digital,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBWFED
37,Licenciatura,Finanzas y Economía,Licenciatura en Finanzas y Banca,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBVFED
38,Licenciatura,"Negocios, Innovación y Liderazgo",Licenciatura en Innovación y Transformación de Negocios,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIAPFED
39,Licenciatura,Finanzas y Economía,Licenciatura en Finanzas y Estrategia Fiscal,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBUFED
40,Licenciatura,"Negocios, Innovación y Liderazgo",Licenciatura en Estrategia y Transformación de Negocios,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIACFED
41,Licenciatura,Ingeniería y Soluciones,Licenciatura en Ingeniería en Tecnología de Videojuegos y Realidad Virtual,Pricing Medio,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIBFFED
42,Licenciatura,Ingeniería y Tecnología,Licenciatura en Comercio Electrónico y Negocios Digitales,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIAMFED
43,Licenciatura,Ingeniería y Tecnología,Licenciatura en Tecnologías Interactivas y Virtuales,PRICING ALTO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,SI,UTLLIAHFED
44,Maestria,Finanzas y Economía,MAESTRÍA EN EDUCACIÓN Y DOCENCIA,Pricing bajo,Antiguos,,Mensual,,SI,SI,,UTLMAEDFED
