,,México,,,Peru,,,Colombia,,,Ecuador,,,Dominicana,,,Salvador,,,Guatemala,,,USA,,
10%,,Licenciatura,Maestría,Doctorado,Licenciatura,Maestría,Doctorado,Licenciatura,Maestría,Doctorado,Licenciatura,Maestría,Doctorado,Licenciatura,Maestría,Doctorado,Licenciatura,Maestría,Doctorado,Licenciatura,Maestría,Doctorado,Licenciatura,Maestría,Doctorado
Accesorio,Tit,$195,$305,$305,$60,$110,$110,$56.650,$106.900,$106.900,$15,$25,N/A,$780,$1.485,$1.110,$15,$25,$20,$111,$209,$153,$15,$25,$20
,Título 50%,$165,$275,$275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Welbe,$65,$65,$65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Welbe Premium,$75,$75,$75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Asistencia Plus,$65,$65,$65,$15,$15,$15,$16.550,$16.550,$16.550,$4,$4,N/A,$255,$255,$255,$4,$4,$4,$29,$29,$29,$4,$4,$4
,Tit USA,N/A,N/A,N/A,$60,$110,$110,$56.650,$106.900,$106.900,$15,$25,N/A,N/A,$1.485,N/A,$15,$25,$20,$111,N/A,N/A,$15,$25,$20
Experiencia,Sesiones Ejecutivas,$165,$285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Híbridas,$300,$300,$300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Senior/Mayor,$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Utel Jóven,$165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Plataforma,Utel x,$165,$165,$165,$22,$22,$22,$28.050,$28.050,N/A,$6,$6,N/A,$330,$330,$330,N/A,N/A,$6,N/A,N/A,N/A,$5,$5,$5
,U generico,$110,$110,$110,$22,$22,N/A,$28.050,$28.050,N/A,$6,N/A,N/A,$330,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$5,N/A,N/A
Idioma,Cambridge,$165,$220,$220,N/A,N/A,N/A,N/A,$158.400,$158.400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Voxy,$0,$0,$0,$0,$0,$0,$0,$0,$0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Duolingo,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Certificación,Coursera,$220,$220,$220,N/A,$50,$50,N/A,$55.950,$55.950,N/A,$13,N/A,N/A,$865,$865,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$13,$13
,Facebook,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Cifal Ciberseguridad,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Microsoft,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Tableau,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Google Cloud,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Google Ads,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Legaltech,$195,$195,$195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Platzi,$100,$100,$100,$27,$27,$27,$29.350,$29.350,$29.350,$7,$7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Utel en Ingles,$600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$30,$30,N/A
