,,,,,,4,,,,,,,,,,,,,
Pais,Nivel,Jornada,Zona,TIPO DE PROMO,ANTIGÜEDAD LEAD,1er pago,2do pago,3er pago,4to pago,5to pago,Nombre paquete,Nombre escalonado,Posicionamiento,Precio de lista,Nombre paquete ejecutivo,Nombre escalonado ejecutivo,Nombre paquete Hibrido,Nombre escalonado Hibrido,Nombre escalonado con titulo
Ecuador,Licenciatura,Completa,Centro,Pricing Medio,Hotlead,82,82,175,175,175,ECU.P1.LI.COM.,"P5.ECU.COM2M
",,250,,,,,
Ecuador,Licenciatura,Completa,Centro,Pricing Medio,RMKT+30,79,79,166,166,166,ECU.P2.LI.COM.,P6.ECU.COM2M,,250,,,,,
Ecuador,Licenciatura,Completa,Centro,Pricing Medio,RMKT+60,71,71,148,148,148,ECU.P3.LI.COM.,P7.ECU.COM2M,,250,,,,,
Ecuador,Licenciatura,Completa,Centro,Pricing Medio,SUPER PROMO,77,77,171,171,171,ECU.P4.LI.COM.,P8.ECU.COM2M,,250,,,,,
Ecuador,Licenciatura,Completa,Centro,Princing Alto,Hotlead,91,91,192,192,192,,,,250,,,,,
Ecuador,Licenciatura,Completa,Centro,Princing Alto,RMKT+30,86,86,183,183,183,,,,250,,,,,
Ecuador,Licenciatura,Completa,Centro,Princing Alto,RMKT+60,74,74,158,158,158,,,,250,,,,,
Ecuador,Licenciatura,Completa,Centro,Princing Alto,SUPER PROMO,88,88,186,186,186,,,,250,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Pricing Medio,Hotlead,90,90,189,189,189,ECU.P1.LI.INT.,P4.ECU.INT2M,,275,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Pricing Medio,RMKT+30,85,85,180,180,180,ECU.P2.LI.INT.,P5.ECU.INT2M,,275,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Pricing Medio,RMKT+60,76,76,160,160,160,ECU.P3.LI.INT.,P6.ECU.INT2M,,275,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Pricing Medio,SUPER PROMO,84,84,183,183,183,ECU.P4.LI.INT.,P7.ECU.INT2M,,275,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Princing Alto,Hotlead,99,99,208,208,208,,,,275,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Princing Alto,RMKT+30,94,94,198,198,198,,,,275,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Princing Alto,RMKT+60,81,81,171,171,171,,,,275,,,,,
Ecuador,Licenciatura,Intensiva,Centro,Princing Alto,SUPER PROMO,96,96,202,202,202,,,,275,,,,,
Peru,Licenciatura,Completa,Centro,Pricing Medio,Hotlead,162,288,407,505,505,PER.P1.LI.COM.,P5.PER.COM3M,,1146,,,,,
Peru,Licenciatura,Completa,Centro,Pricing Medio,RMKT+30,154,273,387,479,479,PER.P2.LI.COM.,P6.PER.COM3M,,1146,,,,,
Peru,Licenciatura,Completa,Centro,Pricing Medio,RMKT+60,145,252,362,445,445,PER.P3.LI.COM.,P7.PER.COM3M,,1146,,,,,
